ticid,gaia_id,group,logg,t_eff,fe_h,gaia_mag,CDPP0_5_mean,CDPP0_5_med,CDPP0_5_std,CDPP1_0_mean,CDPP1_0_med,CDPP1_0_std,CDPP2_0_mean,CDPP2_0_med,CDPP2_0_std
271723402,Gaia DR2 5263737752761333888,14,2.41124,4910.78,-0.492292,9.34022,174.2137784090909,173.61906433,5.425029242194738,156.46351623545456,154.71737671,4.287422347173814,172.57129045,170.82853699,4.624318633384919
272128326,Gaia DR2 5263441949774259328,14,2.43719,4882.06,-0.126572,9.40116,181.02839279083335,180.1063385,3.3930007149573704,164.245480855,163.337242125,4.743520238624662,181.89477538999998,182.81385803,5.20850181046123
167004255,Gaia DR2 5278391356547601536,15,1.20066,3950.96,-0.0503835,10.8425,281.24716949583336,280.199920655,10.583011973627714,209.09347025583335,209.605918885,8.183388131860966,163.80373382583332,163.942459105,6.303326586375804
294626591,Gaia DR2 4654871918900210816,15,1.231,3981.05,-0.0945925,10.4148,239.0994859181818,235.67904663,12.090429544948568,182.1209189690909,181.76730347,14.87331034876972,148.12351712272724,145.43379211,19.068193767670827
349574361,Gaia DR2 5281309803999811328,15,1.18013,4026.77,-0.476212,10.4026,235.46677339846153,231.3427124,14.257286600602976,178.19128417923076,174.36683655,13.155089259640906,142.21761145923077,137.70361328,16.21333851447158
167888736,Gaia DR2 5285230490665838976,16,1.70814,4556.68,-0.946622,12.348,721.6263173425,734.75894165,30.694576488312514,540.1293741874999,543.155334475,26.158846797660512,423.4078292833333,421.46910095,24.907851961154083
349271114,Gaia DR2 5293243005557734016,16,1.65086,4560.46,-1.10056,11.7525,491.1859639483334,492.88560486,26.36312918277855,365.9030431108333,367.03564453,21.219725143665688,283.66337839833335,281.07954407,19.830461941672944
349483265,Gaia DR2 5292226958030367232,16,1.70089,4632.6,-1.73546,12.0587,622.1711273183333,630.859527585,34.60793198457301,473.38116963583326,482.3973999,26.36651460590485,385.0639012658333,389.405029295,17.292672473433278
141807629,Gaia DR2 5266242332877141888,17,0.501739,3558.81,-0.481902,11.3215,400.50035858250004,342.422424315,123.90795360330944,331.4511667883333,269.30891418500005,135.5488784538773,283.7722244258334,222.692939755,135.01244561007547
177310181,Gaia DR2 5260812776953098752,17,0.474674,3589.3,-0.612682,12.5853,831.1227315258334,682.29937744,258.9429200983827,664.0938720691665,520.273590085,254.29209944488184,559.9970143625,416.07192993,272.1756136186666
300138745,Gaia DR2 5267508321730192000,17,0.469653,3512.56,0.0197944,11.5643,610.8006920453847,484.8218689,247.7842828162544,508.92620849615383,396.76794434,230.11687313871715,476.66060227615384,332.46878052,253.54788632910484
25078597,Gaia DR2 4665953175026835584,18,0.325156,4017.32,-1.78516,12.6158,805.8703894984616,799.97912598,60.6366506150142,605.7499389653847,599.24755859,59.78328076175881,474.69214336538465,462.82189941,62.40591653088969
177306969,Gaia DR2 5262413253566451328,18,0.294999,3958.89,-1.62056,13.0925,1124.324660080769,1124.23730469,84.37062406286772,934.1436861476923,941.92364502,87.48927514552628,776.7390887923076,780.56848145,82.11376535589777
277108325,Gaia DR2 4657701752626867072,18,0.296087,3994.91,-0.519332,12.7138,1046.1684681281818,1051.21911621,39.5174559868232,772.8192027690908,772.39379883,32.31488199816771,588.4661310372727,596.87219238,32.92541453178912
31189268,Gaia DR2 4652182479146926848,19,-0.230928,3613.94,-0.508222,14.0941,1901.5461980654545,1868.41333008,110.72338626352993,1391.3994029645455,1351.20251465,86.494575459737,1035.9455233490908,1021.13494873,71.818933125701
40898510,Gaia DR2 4658162138775831936,19,-0.181387,3631.37,-0.518332,14.2528,3707.9482865754544,3677.8059082,313.04646184240437,2837.5093217336366,2801.16088867,254.92108583764224,2301.6926491481818,2359.7878418,239.15762248538155
277018227,Gaia DR2 4657136500590962944,19,-0.152136,3586.66,-0.431682,14.1719,2245.9152943,2250.86474609,158.96547219501707,1645.9003018463636,1664.34692383,114.13311084737222,1236.3153742009092,1231.50402832,94.03278650813866
